x,y
1.28e-06,0.0002063
0.00021738,0.00285253
0.00139717,0.00777183
0.00665698,0.01863245
0.01580501,0.03047906
0.02883347,0.04280482
0.04568918,0.05520889
0.06629112,0.06735503
0.09051427,0.07895233
0.11819963,0.08974616
0.14914254,0.09951468
0.18310506,0.10804821
0.21984312,0.1151599
0.25910372,0.12072122
0.30058729,0.12465754
0.3439606,0.12692343
0.38885365,0.12751147
0.43486602,0.1264244
0.48159244,0.12368504
0.52862389,0.11933627
0.57556669,0.11344647
0.62204386,0.1061264
0.66769773,0.09753021
0.71219794,0.08789714
0.75515297,0.07756051
0.79610663,0.06685087
0.8345856,0.05609031
0.87010598,0.04559033
0.9021722,0.03564269
0.93028455,0.02649819
0.95394941,0.0182886
0.97294285,0.01102133
0.98731466,0.0050803
0.99667566,0.00127091
1.0,0.0
